# This file is created by system ./DesigningTheRidgeLineVer2.out
# Success!!
# objective function value ->0.001131
# number of coefficients -> 26
# IntegralNumber -> 5 Convergence -> 0.000160
# multipliers of equational conditions
#  2.776e+00|   5.146e+00|   4.799e+00|   1.194e+01|   3.132e+01| 
# multipliers of inequality conditions
#  0.000e+00|   0.000e+00|   0.000e+00|   0.000e+00|   0.000e+00| 

0.000000 0.000000 1.433206 1.501163 0.000000
0.002154 0.002529 1.502467 1.535700 7.570596
0.004308 0.005059 1.570971 1.570531 7.572219
0.006462 0.007589 1.638690 1.605643 7.572268
0.008616 0.010120 1.705601 1.641022 7.570737
0.010770 0.012652 1.771676 1.676654 7.567621
0.012924 0.015183 1.836892 1.712524 7.562919
0.015078 0.017715 1.901222 1.748616 7.556631
0.017232 0.020247 1.964642 1.784915 7.548760
0.019386 0.022779 2.027128 1.821407 7.539312
0.021540 0.025311 2.088655 1.858074 7.528298
0.023694 0.027842 2.149199 1.894901 7.515720
0.025848 0.030374 2.208738 1.931872 7.501602
0.028002 0.032904 2.267247 1.968970 7.485954
0.030156 0.035434 2.324705 2.006178 7.468794
0.032310 0.037963 2.381088 2.043480 7.450137
0.034464 0.040492 2.436375 2.080858 7.430016
0.036618 0.043019 2.490545 2.118295 7.408448
0.038772 0.045545 2.543577 2.155774 7.385461
0.040926 0.048070 2.595450 2.193277 7.361082
0.043080 0.050593 2.646144 2.230785 7.335344
0.045234 0.053115 2.695641 2.268282 7.308274
0.047388 0.055634 2.743921 2.305749 7.279912
0.049542 0.058153 2.790967 2.343168 7.250290
0.051696 0.060669 2.836761 2.380521 7.219442
0.053850 0.063183 2.881286 2.417789 7.187418
0.056004 0.065694 2.924526 2.454954 7.154231
0.058158 0.068203 2.966466 2.491998 7.119946
0.060311 0.070710 3.007091 2.528902 7.084597
0.062465 0.073214 3.046387 2.565648 7.048223
0.064619 0.075715 3.084341 2.602217 7.010869
0.066773 0.078212 3.120940 2.638591 6.972579
0.068927 0.080707 3.156173 2.674751 6.933397
0.071081 0.083198 3.190028 2.710679 6.893366
0.073235 0.085686 3.222495 2.746356 6.852530
0.075389 0.088170 3.253566 2.781765 6.810936
0.077543 0.090650 3.283231 2.816887 6.768628
0.079697 0.093126 3.311484 2.851704 6.725649
0.081851 0.095598 3.338317 2.886199 6.682044
0.084005 0.098066 3.363725 2.920352 6.637858
0.086159 0.100529 3.387702 2.954148 6.593138
0.088313 0.102988 3.410245 2.987568 6.547919
0.090467 0.105442 3.431350 3.020595 6.502254
0.092621 0.107891 3.451015 3.053212 6.456179
0.094775 0.110335 3.469238 3.085402 6.409736
