ITERATION,OBJECTIVE,COND[0],COND[1],COND[2],COND[3],VOLUME,SIZE,,,
0,185524.3785,0.116959,0.078565,1.259757,3.577568,0.00108,0.212154,,,
100,2.681032,0.077289,0.040797,0.236268,2.148328,0.012734,0.211464,,,
200,3.248524,0.077537,0.0468,0.184585,1.860714,0.011389,0.208319,,,
300,2.713639,0.080347,0.068992,0.230559,1.040771,0.009643,0.20082,,,
400,2.724895,0.080504,0.068281,0.20215,1.044593,0.009634,0.20068,,,
500,2.723269,0.080599,0.067743,0.18436,1.046662,0.009634,0.200573,,,
600,2.713836,0.080635,0.067352,0.171899,1.048874,0.009643,0.200527,,,
700,2.536644,0.080548,0.065025,0.157309,1.053076,0.009475,0.197131,,,
800,2.542175,0.08055,0.065297,0.155859,1.052717,0.009482,0.197253,,,
900,2.572685,0.080555,0.065987,0.133828,1.051771,0.009536,0.198111,,,
1000,2.313732,0.079895,0.111183,0.266067,0.820804,0.010193,0.200514,,,
1100,1.882442,0.077333,0.222475,0.161405,0.693757,0.011396,0.204227,,,
1200,1.740328,0.077264,0.224213,0.110698,0.709302,0.011099,0.199492,,,
1300,1.429217,0.076616,0.24762,0.190757,0.653066,0.012369,0.20234,,,
1400,1.461885,0.077829,0.239727,0.147177,0.649971,0.012524,0.201481,,,
1500,1.248551,0.077529,0.255411,0.188711,0.630255,0.013377,0.203746,,,
1600,1.257108,0.077542,0.270224,0.13095,0.627989,0.013443,0.204578,,,
1700,1.310947,0.077583,0.302612,0.135024,0.596982,0.013099,0.203525,,,
1800,1.208569,0.076487,0.354966,0.110762,0.586268,0.013738,0.205555,,,
1900,1.207812,0.076409,0.348784,0.121917,0.584426,0.013764,0.205729,,,
2000,1.170587,0.076612,0.314652,0.132395,0.588932,0.013043,0.198106,,,
2100,1.181885,0.076837,0.324664,0.108923,0.583275,0.012753,0.195642,,,
2200,1.184773,0.076871,0.313924,0.128917,0.581992,0.012708,0.195217,,,
2300,1.212397,0.077206,0.320959,0.141609,0.569441,0.012752,0.195436,,,
2400,1.198482,0.076878,0.348985,0.131711,0.555931,0.01281,0.195482,,,
2500,1.179036,0.076949,0.326226,0.170351,0.555887,0.012641,0.19318,,,
2600,205421.6225,0.077412,0.124679,1.155661,1.158407,0.002525,0.16958,,,
2700,1.086001,0.076052,0.336399,0.129915,0.56908,0.013116,0.194839,,,
2800,1.075166,0.075973,0.338708,0.136651,0.566488,0.013097,0.194113,,,
2900,1.063658,0.076023,0.312264,0.138245,0.582425,0.012974,0.192605,,,
3000,1.066129,0.075999,0.322136,0.132689,0.57762,0.013016,0.193102,,,
3100,1.09909,0.076376,0.337201,0.135476,0.56078,0.012911,0.192442,,,
3200,1.113873,0.07641,0.345496,0.124353,0.553179,0.012828,0.191949,,,
3300,1.106436,0.076409,0.33366,0.129273,0.559646,0.012876,0.192216,,,
3400,1.133532,0.077401,0.321566,0.127623,0.558387,0.012954,0.191867,,,
3500,1.138436,0.077443,0.32656,0.123569,0.555282,0.012917,0.191671,,,
3600,1.134604,0.077386,0.328698,0.123189,0.554668,0.012952,0.191948,,,
3700,1.080815,0.076588,0.316654,0.153194,0.56069,0.013066,0.192758,,,
3800,1.073654,0.076489,0.326225,0.134839,0.557849,0.013068,0.192348,,,
3900,1.079099,0.076462,0.339169,0.127132,0.54838,0.013038,0.192029,,,
4000,1.085352,0.076621,0.328686,0.138567,0.550155,0.013072,0.192092,,,
4100,1.082376,0.076607,0.327845,0.135406,0.551857,0.013085,0.192136,,,
4200,1.091276,0.076673,0.331238,0.139362,0.547123,0.01304,0.191945,,,
4300,1.075034,0.076563,0.318079,0.147478,0.55499,0.013115,0.19233,,,
4400,1.083291,0.076593,0.337941,0.124713,0.544283,0.012995,0.191596,,,
4500,1.082384,0.076525,0.341742,0.131128,0.539333,0.013013,0.191477,,,
4600,1.057049,0.07633,0.348627,0.121008,0.529221,0.012948,0.190118,,,
4700,1.075675,0.07659,0.330069,0.130643,0.534026,0.012867,0.189953,,,
4800,1.070792,0.076521,0.330501,0.134684,0.533068,0.012888,0.190034,,,
4900,1.071707,0.076541,0.333436,0.128179,0.532512,0.01287,0.189885,,,
5000,1.058308,0.076498,0.328672,0.130971,0.533689,0.01296,0.190253,,,
5100,1.071044,0.076723,0.330706,0.130897,0.529644,0.012949,0.189994,,,
5200,1.035168,0.076532,0.331732,0.137717,0.532924,0.013102,0.190723,,,
5300,1.036837,0.076559,0.335593,0.130672,0.53181,0.013081,0.190577,,,
5400,94252891.13,0.075436,0.056299,0.101691,2.718964,-0.007631,0.19299,,,
5500,1.032461,0.076259,0.312367,0.110973,0.546301,0.013467,0.194778,,,
5600,1.037877,0.076286,0.314671,0.114685,0.543057,0.013451,0.194832,,,
5700,1.04599,0.076335,0.338312,0.129278,0.520806,0.013538,0.194551,,,
5800,1.051031,0.076601,0.322376,0.111685,0.53193,0.013583,0.194631,,,
5900,1.045328,0.076545,0.271413,0.119027,0.55224,0.013554,0.194322,,,
6000,1.093048,0.077031,0.303947,0.114244,0.522277,0.013226,0.192479,,,
6100,1.076443,0.076898,0.301338,0.115429,0.525543,0.013335,0.192887,,,
6200,1.076493,0.076898,0.301374,0.115432,0.525512,0.013334,0.192886,,,
6300,1.076442,0.076898,0.30133,0.115439,0.525544,0.013335,0.192888,,,
6400,1.076474,0.076898,0.301294,0.115553,0.525526,0.013335,0.192889,,,
6500,1.076474,0.076898,0.301294,0.115553,0.525526,0.013335,0.192889,,,
6600,1.076385,0.076898,0.301241,0.115524,0.52558,0.013335,0.192892,,,
6700,1.078498,0.076921,0.27579,0.116902,0.535962,0.013295,0.19259,,,
6800,1.110204,0.077193,0.299732,0.116191,0.515462,0.013082,0.191548,,,
6900,1.294406,0.096039,0.141861,0.095562,0.059446,0.013499,0.185592,,,
7000,0.216642,1.073397,0.03803,0.261446,7.42421,0.119114,0.470429,,,
7100,0.975799,0.078325,0.11457,0.115622,0.131281,0.015633,0.19328,,,
7200,0.979634,0.083515,0.119206,0.073467,0.040728,0.015147,0.19016,,,
7300,0.988246,0.080085,0.119767,0.06489,0.024577,0.015141,0.190269,,,
7400,0.948248,0.091609,0.071252,0.049402,0.051069,0.015029,0.190356,,,
7500,0.867538,0.079558,0.333201,0.234103,0.153097,0.015693,0.193906,,,
7600,0.581205,0.073872,0.107933,0.151336,0.822002,0.021932,0.222264,,,
7700,0.96452,0.069937,0.038248,0.029909,0.041829,0.014944,0.190148,,,
7800,0.963912,0.06951,0.038535,0.030395,0.04223,0.014946,0.190151,,,
7900,0.963443,0.082116,0.045813,0.033308,0.041428,0.014961,0.190276,,,
8000,0.966117,0.071404,0.037898,0.03059,0.042623,0.014937,0.190111,,,
8100,0.972059,0.083882,0.09958,0.145989,0.032654,0.014954,0.190262,,,
8200,nan,100000,100000,100000,100000,nan,nan,,,
8300,0.956905,0.125696,0.091392,0.067579,0.040168,0.015205,0.19112,,,
8400,1.168567,0.180895,0.115995,0.139001,0.107429,0.014243,0.186744,,,
8500,0.963903,0.069523,0.038535,0.030395,0.04223,0.014946,0.190151,,,
8600,0.964322,0.069544,0.038249,0.029831,0.041675,0.014946,0.190166,,,
8700,0.204919,68.742896,0.039384,0.277264,7.539004,0.124461,0.482043,,,
8800,0.964338,0.069539,0.038241,0.029821,0.041659,0.014947,0.190166,,,
8900,2.240873,0.111709,0.726495,0.516911,0.348976,0.012676,0.178158,,,
9000,nan,100000,100000,100000,100000,nan,nan,,,
9100,0.964338,0.069539,0.038241,0.029821,0.041659,0.014947,0.190166,,,
9200,0.981356,0.073283,0.037103,0.038171,0.046084,0.014869,0.189869,,,
9300,0.962296,0.073713,0.040995,0.0344,0.045437,0.01493,0.189975,,,
9400,0.690624,0.073741,0.379438,0.749547,0.420535,0.017433,0.205613,,,
9500,0.965229,0.078199,0.039032,0.031516,0.043051,0.014943,0.19013,,,
9600,0.964243,0.072682,0.038334,0.029831,0.041629,0.014947,0.19017,,,
9700,2.011768,0.083658,0.136355,0.096412,0.07249,0.0151,0.189919,,,
9800,0.964351,0.069739,0.03822,0.029812,0.04166,0.014946,0.190166,,,
9900,0.964321,0.069653,0.038267,0.029845,0.041694,0.014946,0.190164,,,
10000,0.964312,0.069526,0.03826,0.029844,0.041695,0.014946,0.190166,,,
10100,0.964345,0.069529,0.038239,0.029818,0.041651,0.014947,0.190167,,,
10200,0.964338,0.069527,0.038244,0.029824,0.041663,0.014946,0.190166,,,
10300,0.964338,0.069524,0.038244,0.029824,0.041663,0.014946,0.190166,,,
10400,0.964577,0.073534,0.038076,0.029765,0.041373,0.014947,0.190176,,,
10500,0.964334,0.06953,0.038243,0.029824,0.041663,0.014946,0.190166,,,
10600,0.970269,0.087082,0.03947,0.03295,0.04374,0.01495,0.190146,,,
10700,0.965402,0.077957,0.038289,0.029884,0.04175,0.014946,0.190164,,,
10800,1.013066,0.129325,0.065724,0.121155,0.078071,0.014996,0.18921,,,
10900,0.960768,0.075425,0.042845,0.032392,0.042205,0.014963,0.190299,,,
11000,0.96424,0.069712,0.038251,0.029833,0.041676,0.014946,0.190166,,,
11100,0.964348,0.069505,0.038245,0.029826,0.041666,0.014946,0.190166,,,
11200,0.97392,0.04026,0.020414,0.050943,0.042957,0.014953,0.189973,,,
11300,0.967742,0.035441,0.019,0.046453,0.04271,0.014962,0.190124,,,
11400,0.949446,0.0325,0.038549,0.058832,0.036293,0.015149,0.190706,,,
11500,0.948436,0.033231,0.035353,0.057618,0.036746,0.015145,0.190665,,,
11600,0.942712,0.040701,0.020223,0.050809,0.040631,0.015122,0.190405,,,
11700,0.926544,0.033547,0.022982,0.040213,0.063023,0.01502,0.189406,,,
11800,0.926188,0.033344,0.022602,0.040235,0.063502,0.015016,0.189368,,,
11900,0.91291,0.102539,0.051283,0.040719,0.0555,0.015165,0.190112,,,
12000,0.921605,0.032782,0.02244,0.039689,0.070123,0.014982,0.189025,,,
12100,0.927137,0.09665,0.026534,0.040231,0.069541,0.014974,0.188997,,,
12200,0.921396,0.03975,0.022426,0.039672,0.070322,0.014981,0.189015,,,
12300,0.921741,0.103564,0.022437,0.039672,0.070305,0.014981,0.189016,,,
12400,0.927605,0.04322,0.044176,0.043315,0.068862,0.01503,0.189057,,,
12500,0.921434,0.102553,0.022436,0.03967,0.070328,0.014981,0.189015,,,
12600,0.921279,0.068323,0.022431,0.039673,0.070331,0.014981,0.189015,,,
12700,0.921455,0.032904,0.02243,0.039671,0.070331,0.014981,0.189015,,,
12800,0.921462,0.032783,0.022426,0.039672,0.070321,0.014981,0.189016,,,
12900,0.921462,0.032783,0.022426,0.039672,0.070321,0.014981,0.189016,,,
13000,0.921466,0.032782,0.022454,0.03967,0.070325,0.014981,0.189016,,,
13100,0.92144,0.034892,0.022426,0.039673,0.070321,0.014981,0.189016,,,
13200,0.921461,0.032883,0.022425,0.039672,0.070321,0.014981,0.189016,,,
13300,0.921462,0.032781,0.022429,0.039672,0.070321,0.014981,0.189016,,,
13400,0.923641,0.101349,0.025154,0.040426,0.070423,0.014973,0.188974,,,
13500,0.921381,0.0428,0.02244,0.039671,0.070308,0.014981,0.189016,,,
13600,0.921445,0.034929,0.022428,0.039674,0.070314,0.014981,0.189016,,,
13700,0.921928,0.033494,0.025164,0.039464,0.070328,0.014985,0.189024,,,
13800,0.921469,0.032783,0.022424,0.039674,0.07031,0.014981,0.189016,,,
13900,0.921406,0.039341,0.022429,0.039673,0.070309,0.014981,0.189016,,,
14000,0.921469,0.032783,0.022424,0.039674,0.070309,0.014981,0.189016,,,
14100,0.92147,0.032783,0.022423,0.039674,0.070309,0.014981,0.189016,,,
14200,0.921475,0.032781,0.022424,0.039674,0.070302,0.014981,0.189016,,,
14300,0.921475,0.032781,0.022424,0.039674,0.070302,0.014981,0.189016,,,
14400,0.92123,0.099066,0.023302,0.039549,0.070189,0.014983,0.189027,,,
14500,0.921478,0.032823,0.022425,0.039675,0.070297,0.014981,0.189016,,,
14600,0.922814,0.074441,0.025182,0.040276,0.069989,0.014983,0.188995,,,
14700,0.921478,0.032782,0.022421,0.039675,0.070297,0.014981,0.189016,,,
14800,0.921479,0.032783,0.02242,0.039675,0.070296,0.014981,0.189016,,,
14900,0.921314,0.060371,0.022428,0.039673,0.070295,0.014981,0.189016,,,
15000,0.921473,0.033719,0.022423,0.039676,0.070291,0.014981,0.189017,,,
15100,0.849945,0.085993,0.182115,0.118289,0.079611,0.015653,0.192317,,,
15200,0.921371,0.045365,0.022443,0.039671,0.070299,0.014981,0.189017,,,
15300,0.921481,0.032781,0.022421,0.039675,0.070292,0.014981,0.189017,,,
15400,11628.11017,0.077356,0.145364,1.61092,1.034061,0.007511,0.166036,,,
15500,0.921275,0.054111,0.022659,0.039636,0.070286,0.014982,0.189019,,,
15600,0.921482,0.032782,0.022423,0.039675,0.070291,0.014981,0.189017,,,
15700,0.921481,0.032782,0.02242,0.039676,0.070291,0.014981,0.189017,,,
15800,0.921482,0.03279,0.02242,0.039676,0.070291,0.014981,0.189017,,,
15900,0.921487,0.03278,0.02242,0.039676,0.070284,0.014981,0.189017,,,
16000,0.92397,0.089817,0.023517,0.039705,0.07037,0.014978,0.189011,,,
16100,0.921487,0.03278,0.02242,0.039676,0.070284,0.014981,0.189017,,,
16200,0.922109,0.033618,0.026323,0.03941,0.070382,0.014985,0.189029,,,
16300,0.921488,0.032824,0.022422,0.039676,0.070282,0.014981,0.189017,,,
16400,0.921922,0.034308,0.023241,0.039657,0.070192,0.014982,0.189012,,,
16500,0.921488,0.032782,0.022418,0.039677,0.070282,0.014981,0.189017,,,
16600,0.921487,0.032781,0.022419,0.039676,0.070283,0.014981,0.189017,,,
16700,0.92145,0.036373,0.022421,0.039676,0.070281,0.014981,0.189017,,,
16800,0.921457,0.035581,0.022419,0.039676,0.070281,0.014981,0.189017,,,
16900,0.921674,0.033809,0.022974,0.039651,0.070299,0.014982,0.189016,,,
17000,0.921488,0.032781,0.022419,0.039677,0.070282,0.014981,0.189017,,,
17100,0.921488,0.032782,0.022419,0.039677,0.070282,0.014981,0.189017,,,
17200,0.921253,0.09935,0.023296,0.039552,0.07016,0.014983,0.189028,,,
17300,0.921488,0.032825,0.022418,0.039677,0.070281,0.014981,0.189017,,,
17400,0.920298,0.041146,0.031905,0.038943,0.070699,0.014996,0.189094,,,
17500,0.921477,0.033117,0.022429,0.039675,0.070296,0.014981,0.189017,,,
17600,0.924208,0.101906,0.02595,0.040707,0.070428,0.014971,0.188962,,,
17700,0.921472,0.101473,0.022443,0.039684,0.070286,0.014981,0.189016,,,
17800,0.924472,0.038303,0.048285,0.040519,0.07062,0.015012,0.189089,,,
17900,0.921323,0.075373,0.022417,0.039678,0.070282,0.014981,0.189017,,,
18000,0.921487,0.032791,0.022419,0.039676,0.070283,0.014981,0.189017,,,
18100,0.928101,0.089382,0.033623,0.042902,0.072267,0.014945,0.188847,,,
18200,0.921491,0.032782,0.022417,0.039677,0.070276,0.014981,0.189017,,,
18300,0.921491,0.032781,0.022418,0.039677,0.070278,0.014981,0.189017,,,
18400,0.915643,0.107317,0.049274,0.039609,0.067078,0.01505,0.189358,,,
18500,0.921491,0.032791,0.022418,0.039677,0.070276,0.014981,0.189017,,,
18600,0.921494,0.032782,0.022416,0.039678,0.070272,0.014981,0.189017,,,
18700,0.921658,0.032894,0.023128,0.039621,0.070283,0.014982,0.189019,,,
18800,0.921493,0.033001,0.022418,0.039678,0.070272,0.014981,0.189017,,,
18900,1.888517,0.105464,0.909083,0.119068,0.371358,0.012304,0.17585,,,
19000,0.922789,0.09045,0.022545,0.039704,0.070283,0.014981,0.189018,,,
19100,0.921549,0.105142,0.022419,0.03968,0.070274,0.014981,0.189017,,,
19200,0.921349,0.056511,0.022416,0.039679,0.070274,0.014981,0.189017,,,
19300,0.921493,0.032783,0.022416,0.039678,0.070273,0.014981,0.189017,,,
